Title,Abstract,Author Keywords,Index Keywords
Emerging trends in applications of big data in educational data mining and learning analytics,"In the last couple of years, the use of various applications of Educational Data Mining and Learning Analytics has increased. Now a days, students have started using Internet to study. Due to the easy availability of online courses, student online activities have considerably increased which in turn has generated huge amount of data. These data gets wasted as conventional learning methods are not equipped for preparing it. Now, due to this, the Big Data technology has entered in the education field, to mine those huge chunks of datasets. This paper discusses the latest tools and technologies of Big Data in the field of Learning Analytics and Educational Data Mining. © 2017 IEEE.",Big Data; Educational Data Mining; Learning Analytics; Prediction,Cloud computing; Data mining; E-learning; Education; Forecasting; Students; Data technologies; Education field; Educational data mining; Emerging trends; Learning Analytics; Learning methods; Online activities; Tools and technologies; Big data
Theory-driven learning analytics and open learner modelling: The teacher's toolbox of tomorrow?,"Big Data and data technologies increasingly find their way into school education. Learning Analytics and Educational Data Mining are focal research areas. However, technical solutions often fail to meet the practical requirements of teachers or to really mirror human learning processes. The LEA's BOX project aims at developing a practical web platform that hosts tools for a theory-based approach to Learning Analytics and that offers tools to open and negotiate learner models.",Data visualization; Learning analytics; Open learner models,Big data; Data mining; Data visualization; Education; Teaching; Data technologies; Educational data mining; Human learning; Learning analytics; Open learner models; Practical requirements; School education; Technical solutions; Learning systems
Differentiating between educational data mining and learning analytics: A bibliometric approach,"Educational Data Mining and Learning Analytics are two relatively new research fields. Natural language techniques can be used to identify major research themes within each field. Similarities and differences between both domains are identified through the use of keyword analysis. Over 4,000 articles are analyzed and bibliometric techniques are used to select 60 articles that best represent major research themes within the intersection, as well as disjoint elements of both fields. Following keyword analysis, we conclude it is more accurate to describe what appears to be two domains (i.e. Educational Data Mining and Learning Analytics) as one domain (i.e. Learning Analytics) with one prominent subset (i.e. Educational Data Mining). Copyright © 2020 for this paper by its authors.",Bibliometrics; Big data; Educational data mining; Learning analytics; Machine learning; Natural language processing,Bibliometric; Bibliometric techniques; Educational data mining; Natural language techniques; Research fields; Two domains; Data mining
CT-Blocks Analyser: Analysing CT-Blocks Projects,"This paper introduces CT-Blocks Analyser which is used for analysing computational thinking concepts of CT-Blocks project activities. This uses the emerging techniques of educational data mining and learning analytics to automate the instructional approach for CT-Blocks projects. CT-Blocks aims to infuse computational thinking within K-12 curriculum. The big data toolkit called, CT-Blocks Analyser which is specifically developed for CT-Blocks, a visually appealing programming environment for beginners; a block based programmable platform interconnected with more features in which students enjoy the learning process and it tries to make the users master in computational thinking. © 2018 IEEE.",21st century learning skills; block based programming; Computational thinking; CT-Blocks; educational data mining (EDM); K-12 education; learning analytics (LA),Data mining; Data visualization; Block based; Computational thinkings; Educational data minings (EDM); K-12 education; Learning analytics; Learning skills; Big data
Lea's box: Practical competence-oriented learning analytics and open learner modeling,"Big Data and data technologies increasingly find their way into school education. Learning Analytics and Educational Data Mining are focal research areas. However, technical solutions often fail to meet the practical requirements of teachers or to really mirror human learning processes. The LEA's BOX project aims at developing a practical web platform that hosts tools for a theory-based approach to Learning Analytics and that offers tools to open and negotiate learner models. Copyright © 2016 for the individual papers by the papers' authors.",Data visualization; Learning analytics; Open learner models,Big data; Data mining; Data visualization; Teaching; Data technologies; Educational data mining; Learning analytics; Open learner modeling; Open learner models; Practical requirements; School education; Technical solutions; Learning systems
Educational Data Mining and Learning Analytics: Overview of Benefits and Challenges,"Educational Data Mining (EDM) promises better understanding of student behavior and knowledge, as well as new information on the implicit factors that contribute to student actions. This knowledge can be useful in guiding at-risk students, identifying priority learning needs for different groups of students, increasing graduation rates, making informed decisions about pedagogy, identifying student behavior and learning patterns, and optimizing student success. This study provides an overview of the body of knowledge regarding Educational Data Mining and its application in teaching and learning. In this paper we highlight significant aspects of Big Data, including the Big Data technologies and the recent applications of Big Data in education. Finally, we explore and report on the challenges and difficulties encountered in EDM and present a discussion of future directions for the education and research community. © 2017 IEEE.",Academics; Big data; Business Analytics; career; Curriculum Development; Education; skills; Universities,Artificial intelligence; Big data; Curricula; Education; Students; Academics; Business analytics; career; Curriculum development; skills; Universities; Data mining
Data mining and machine learning applications for educational big data in the university,In this paper data mining and machine learning applications for educational big data in the university are examined. We proposed prediction models in learning analytics using the student teaching data and show the effectiveness of machine learning methods. Some examples of practical applications will be shown to verify practical effectiveness. © 2019 IEEE.,Data analysis; Educational big data; Educational data mining; Learning analytics; Machine learning,Big data; Data reduction; Learning systems; Machine learning; Educational data mining; Learning analytics; Machine learning applications; Machine learning methods; Prediction model; Data mining
State of Art of Data Mining and Learning Analytics Tools in Higher Education,"In this decade, the use of learning management systems (LMS) does not cease to increase, becoming one of the most popular approaches adopted and widely used in the learning process. Learners' online activities generate a huge amount of unused data that is wasted because traditional learning analyses are not able to process them. In this regard, a large collection of appli-cations/tools have emerged to conduct research in educational data mining (EDM) and / or learning analysis (LA). This study looks into the recent applica-tions/tools of Big Data technologies in education and presents some of the most widely used, accessible, and powerful tools in this field of research. The majority of these tools are for researchers with the purpose of conducting research on educational data mining and learning analysis.",Big Data; Educational Data Mining; Learning Analytics; LMS; Modeling; Text Mining,Learning systems; Data technologies; Educational data mining; Educational data minings (EDM); Higher education; Learning management system; Learning process; Online activities; Traditional learning; Data mining
"Educational data mining and learning analytics: Differences, similarities, and time evolution [Minería de datos educativos y análisis de datos sobre aprendizaje: Diferencias, parecidos y evolución en el tiempo]","Technological progress in recent decades has enabled people to learn in different ways. Universities now have more educational models to choose from, i.e., b-learning and e-learning. Despite the increasing opportunities for students and instructors, online learning also brings challenges due to the absence of direct human contact. Online environments allow the generation of large amounts of data related to learning/teaching processes, which offers the possibility of extracting valuable information that may be employed to improve students’ performance. In this paper, we aim to review the similarities and differences between Educational Data Mining and Learning Analytics, two relatively new and increasingly popular fields of research concerned with the collection, analysis, and interpretation of educational data. Their origins, goals, differences, similarities, time evolution, and challenges are addressed, as are their relationship with Big Data and MOOCs. © 2015, Universitat Oberta de Catalunya. All Rights Reserved",Big data; Educational data mining; Learning analytics; Online learning,
Review of the development of learning analytics applied in college-level institutes,"This article focuses on the recent development of Learning Analytics using higher education institutional big-data. It addresses current state of Learning Analytics, creates a shared understanding, and clarifies misconceptions about the field. This article also reviews prominent examples from peer institutions that are conducting analytics, identifies their data and methodological framework, and comments on market vendors and non-for-profit initiatives. Finally, it suggests an implementation agenda for potential institutions and their stakeholders by drafting necessary preparations and creating iterative implementation flows.",Big-data; Educational data mining; Learning analytics,
