Article Title,Author Keywords,Keywords Plus,Abstract
Exploring the impact of Artificial Intelligence and robots on higher education through literature-based design fictions,Artificial Intelligence; AI; Robots; Social robots; Learning analytics; Big data; AIEd; Design fiction,,"Artificial Intelligence (AI) and robotics are likely to have a significant long-term impact on higher education (HE). The scope of this impact is hard to grasp partly because the literature is siloed, as well as the changing meaning of the concepts themselves. But developments are surrounded by controversies in terms of what is technically possible, what is practical to implement and what is desirable, pedagogically or for the good of society. Design fictions that vividly imagine future scenarios of AI or robotics in use offer a means both to explain and query the technological possibilities. The paper describes the use of a wide-ranging narrative literature review to develop eight such design fictions that capture the range of potential use of AI and robots in learning, administration and research. They prompt wider discussion by instantiating such issues as how they might enable teaching of high order skills or change staff roles, as well as exploring the impact on human agency and the nature of datafication."
Teachers' Views Regarding Learning Analytics Usage Based on the Technology Acceptance Model,Learning analytics; School education; Teacher professional development; Technology acceptance,BIG DATA; USER ACCEPTANCE; ENVIRONMENTS; BELIEFS; SUPPORT,"The article is focusing on aspects related to technology acceptance of LA in the context of school education. A survey that was based on the Technology Acceptance Model was distributed to 98 participants who work as schoolteachers and/or local educational policymakers and are geographically dispersed across two different European countries. The survey comprised of questions that span across four broad categories: a) actual usage of LA in schools, b) intention to use LA, c) perceived usefulness, and d) attitudes towards use. Regarding (a), most of the participants were aware that their educational institutions retain and use digital formats of student data as well as other data relevant to the learning process. Also, the participants could verify the existence of a respective privacy policy in their educational institutions. With respect to the perceived usefulness aspect, the participants were asked to opinionate concerning four promising types of LA usage, namely 1) real-time feedback, 2) prediction of at-risk students, 3) learning activities recommendation, and 4) student groups recommendation. All four types were well-received, but the perceived usefulness of prediction of at-risk students scored lower than the other three types of activities, while the learning activities recommendation scored higher in terms of perceived usefulness. The participants' intention to use LA was examined in conjunction with their professionalism and that prospect was also well-received. The results are partially controversial, since the participants' attitudes were not particularly favorable: they are moderate with respect to how much sceptic, willing and ready they feel about embarking on a LA endeavor."
Is New Zealand's Higher Education Sector Ready to Employ Analytics Initiatives to Enhance its Decision-making Process?,Analytics; Higher education; Decision-making; Challenges,LEARNING ANALYTICS; BIG DATA; CHALLENGES; BENEFITS,"Interest in the use of analytics to support evidence-based decision-making in higher education is relatively a new phenomenon. The available research suggests that analytics can enhance an institution's ability to make evidence-based informed decisions that foster growth and increased productivity. The present study explored how institutions of higher education in New Zealand value and utilise analytics to enhance the quality of decision-making. The study involved administering an online questionnaire (n = 82) to senior administrators from seven of the eight research-intensive public universities in New Zealand. Key findings revealed that the use of analytics in the higher education sector could enhance the quality of decision-making. Respondents reported that the use of analytics is likely to advance operational and strategic decisions by monitoring and efficiently optimising the use of resources. Respondents said that analytics provide better planning of issues about students (e.g. enrolment, retention, and completion rate). Furthermore, analytics can improve institutional research administration (e.g. performance outcomes in finance and human resources). Despite the stated benefits of analytics in enhancing decision-making in many operational and strategic areas, the study found that the use of analytics in the higher education sector in New Zealand is limited to monitoring operational activities, rather than improving the quality of learning, teaching and strategic initiatives. Further, the study identified several concerns regarding the ability of institutions to find the capacity and expertise to extract useful information from the available data sets and to turn such data into usable knowledge to support students and educators. Also, respondents were concerned that the lack of staff capacity and training to use analytics effectively could be detrimental. Others feared that analytics could be used as surveillance tools and enforce compliance and control. It was mentioned that over-reliance on analytics could easily lead to a breach of individuals' and institutional privacy, which is a threat to information and data security. Also, there was a concern that analytics could be used to perpetuate inequity and inequality among and within institutions. Results of the study presented in this article serve as a baseline for future studies about the use of analytics in the higher education sector in New Zealand. Additionally, it contributes to the growing debate about the value and challenges of deploying analytics and Big Data in the higher education sector worldwide."
Enhanced Harris Hawks optimization as a feature selection for the prediction of student performance,Harris Hawks optimization; Student performance; Population diversity; Educational data mining,LEARNING ANALYTICS; EXPLORATION; ALGORITHMS,"Predicting student performance for educational organizations such as universities, community colleges, schools, and training centers will enhance the overall results of these organizations. Big data can be extracted from the internal systems of these organizations, such as exam records, statistics about virtual courses, and e-learning systems. Finding meaningful knowledge from extracted data is a challenging task. In this paper, we proposed a modified version of Harris Hawks Optimization (HHO) algorithm by controlling the population diversity to overcome the early convergence problem and prevent trapping in a local optimum. The proposed approach is employed as a feature selection algorithm to discover the most valuable features for student performance prediction problem. A dynamic controller that controls the population diversity by observing the performance of HHO using the k-nearest neighbors (kNN) algorithm as a clustering approach. Once all solutions belong to one cluster, an injection process is employed to redistribute the solutions over the search space. A set of machine learning classifiers such as kNN, Layered recurrent neural network (LRNN), Naive Bayes, and Artificial Neural Network are used to evaluate the overall prediction system. A real dataset obtained from UCI machine learning repository is adopted in this paper. The obtained results show the importance of predicting students' performance at an earlier stage to avoid students' failure and improve the overall performance of the educational organization. Moreover, the reported results show that the combination between the enhanced HHO and LRNN can outperform other classifiers with accuracy equal to 92%\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$92\%$$\end{document}, since LRNN is a deep learning algorithm that is able to learn from previous and current input values."
School in Digital Age: How Big Data Help to Transform the Curriculum,Moscow electronic school; artificial intelligence; repository; text mining; educational data mining; learning analytics,,"The transition to digital society is characterised by the development of new methods and tools for big data processing. New technologies have a substantial impact on the education sector. The article represents the results of applying big data to analyse and transform the learning content of Moscow's schools. The analysis of the school curriculum comprised the following: (a) identifying one-topic lesson scripts, (b) analysing cross-disciplinary connections between subjects, (c) verifying the compliance of the lesson script digital content to the Federal Educational Standards. The analysed material included 36,644 lesson scripts. The analysis has been conducted using specifically designed digital tools featuring data mining algorithms. The article considers the issue of applying data mining algorithms to analyse school curriculum for the improvement of its quality."
A Fine-Grained Model to Assess Learner-Content and Methodology Satisfaction in Distance Education,E-learning; Learning Management System; Learning Analytics; Student's Success; User Monitoring,STUDENTS SATISFACTION; MANAGEMENT-SYSTEMS; BIG DATA; QUALITY; PERSPECTIVE; EXPERIENCE; TEACHERS,"Learning Management System (LMS) platforms have led to a transformation in Universities in the last decade. helping them to adapt and expand their services to new technological challenges. These platforms have made possible the expansion of distance education. A current trend in this area is focused on the evaluation and improvement of the students' satisfaction. In this work a new tool to assess student satisfaction using emoticons (smileys) is proposed to evaluate the quality of the learning content and the methodology at unit level for any course and at any time. The results indicate that the assessment of student satisfaction is sensitive to the period when the survey is performed and to the student's study level. Moreover, the results of this new proposal are compared to the satisfaction results using traditional surveys, showing different results due to a more accuracy and flexibility when using the tool proposed in this work."
An Exploration of Factors Linked to Academic Performance in PISA 2018 Through Data Mining Techniques,educational data mining; school performance; large-scale assessment; non-cognitive outcomes; socioeconomic status; decision tree; academic achievement,MULTILEVEL ANALYSIS; READING ENGAGEMENT; HONG-KONG; SCHOOL; STUDENTS; MATHEMATICS; ACHIEVEMENT; PROGRAM; SCIENCE; LITERACY,"International large-scale assessments, such as PISA, provide structured and static data. However, due to its extensive databases, several researchers place it as a reference in Big Data in Education. With the goal of exploring which factors at country, school and student level have a higher relevance in predicting student performance, this paper proposes an Educational Data Mining approach to detect and analyze factors linked to academic performance. To this end, we conducted a secondary data analysis and built decision trees (C4.5 algorithm) to obtain a predictive model of school performance. Specifically, we selected as predictor variables a set of socioeconomic, process and outcome variables from PISA 2018 and other sources (World Bank, 2020). Since the unit of analysis were schools from all the countries included in PISA 2018 (n = 21,903), student and teacher predictor variables were imputed to the school database. Based on the available student performance scores in Reading, Math, and Science, we applied k-means clustering to obtain a categorized (three categories) target variable of global school performance. Results show the existence of two main branches in the decision tree, split according to the schools' mean socioeconomic status (SES). While performance in high-SES schools is influenced by educational factors such as metacognitive strategies or achievement motivation, performance in low-SES schools is affected in greater measure by country-level socioeconomic indicators such as GDP, and individual educational indicators are relegated to a secondary level. Since these evidences are in line and delve into previous research, this work concludes by analyzing its potential contribution to support the decision making processes regarding educational policies."
A Learning Analytics Theoretical Framework for STEM Education Virtual Reality Applications,virtual reality; learning analytics; STEM education; instructional design,STUDENT ENGAGEMENT; SCIENCE; SYSTEMS; ONLINE,"While virtual reality has attracted educators' interest by providing new opportunities to the learning process and assessment in different science, technology, engineering and mathematics (STEM) subjects, the results from previous studies indicate that there is still much work to be done when large data collection and analysis is considered. At the same time, learning analytics emerged with the promise to revolutionise the traditional practices by introducing new ways to systematically assess and improve the effectiveness of instruction. However, the collection of 'big' educational data is mostly associated with web-based platforms (i.e., learning management systems) as they offer direct access to students' data with minimal effort. Thence, in the context of this work, we present a four-dimensional theoretical framework for virtual reality-supported instruction and propose a set of structural elements that can be utilised in conjunction with a learning analytics prototype system. The outcomes of this work are expected to support practitioners on how to maximise the potential of their interventions and provide further inspiration for the development of new ones."
Fostering Evidence-Based Education with Learning Analytics: Capturing Teaching-Learning Cases from Log Data,Learning analytics; Evidence-based education; Technology-enhanced Evidence-based Education & Learning (TEEL); Learning Evidence Analytics Framework (LEAF); Mixed effects model; Teaching-learning case,IMPROVE,"Evidence-based education has become more relevant in the current technology-enhanced teaching-learning era. This paper introduces how Educational BIG data has the potential to generate such evidence. As evidence-based education traditionally hooks on the meta-analysis of the literature, so there are existing platforms that support manual input of evidence as structured information. However, such platforms often focus on researchers as end-users and its design is not aligned to the practitioners' workflow. In our work, we propose a technology-mediated process of capturing teaching-learning cases (TLCs) using a learning analytics framework. Each case is primarily a single data point regarding the result of an intervention and multiple such cases would generate an evidence of intervention effectiveness. To capture TLCs in our current context, our system automatically conducts statistical modelling of learning logs captured from Learning Management Systems (LMS) and an e-book reader. Indicators from those learning logs are evaluated by the Linear Mixed Effects model to compute whether an intervention had a positive learning effect. We present two case studies to illustrate our approach of extracting case effectiveness from two different learning contexts - one at a junior-high math class where email messages were sent as intervention and another in a blended learning context in a higher education physics class where an active learning strategy was implemented. Our novelty lies in the proposed automated approach of data aggregation, analysis, and case storing using a Learning Analytics framework for supporting evidence-based practice more accessible for practitioners."
Evaluation of Key Performance Indicators (KPIs) for Sustainable Postgraduate Medical Training: An Opportunity for Implementing an Innovative Approach to Advance the Quality of Training Programs at the Saudi Commission for Health Specialties (SCFHS),key performance indicators (KPIs); attitudes; training programs; Saudi Commission for Health Specialties; framework; best practices; healthcare; medical training; residents; postgraduate medical training; learning analytics; artificial intelligence (AI),LEARNING ANALYTICS; HIGHER-EDUCATION; SEXUAL-HARASSMENT; BURNOUT; RESIDENTS; DISCRIMINATION; PERCEPTIONS; PHYSICIANS; STUDENTS; SYSTEMS,"The Kingdom of Saudi Arabia is undergoing a major transformation in response to a revolutionary vision of 2030, given that healthcare reform is one of the top priorities. With the objective of improving healthcare and allied professional performance in the Kingdom to meet the international standards, the Saudi Commission for Health Specialties (SCFHS) has recently developed a strategic plan that focuses on expanding training programs' capacity to align with the increasing demand for the country's healthcare workforce, providing comprehensive quality assurance and control to ensure training programs uphold high quality standards, and providing advanced training programs benchmarked against international standards. In this research paper, we describe our attempt for developing a general framework for key performance indicators (KPIs) and the related metrics, with the aim of contributing to developing new strategies for better medical training compatible with the future. We present the results of a survey conducted in the Kingdom of Saudi Arabia (KSA), for the enhancement of quality of postgraduate medical training. The recent developments in the field of learning analytics present an opportunity for utilizing big data and artificial intelligence in the design and implementation of socio-technical systems with significant potential social impact. We summarize the key aspects of the Training Quality Assurance Initiative and suggest a new approach for designing a new data and services ecosystem for personalized health professionals training in the KSA. The study also contributes to the theoretical knowledge on the integration of sustainability and medical training and education by proposing a framework that can enhance future initiatives from various health organizations."
Educational Technology Research Patterns in the Realm of the Digital Knowledge Age,educational technology; EdTech; digital knowledge age; the evolution of EdTech; research patterns,LEARNING TECHNOLOGY; RESEARCH TRENDS; FUTURE; TEACHERS; DECADES; DESIGN; COMMUNICATION; PUBLICATIONS; REFLECTIONS; CLASSROOM,"Educational technology (EdTech) is a dynamic, evolving field and as such, in identifying and mapping research patterns in this field, a systematic approach is required. Starting from when the World Wide Web became publicly available, this study conducts a systematic review of educational technology research patterns. The review showed that after 1993, there was a sudden increase in the number of educational technology publications, and that in terms of subject areas, social sciences dominate the field, which suggests that there is a need for more interdisciplinary research. Regarding the geographical distribution of the research, the review found that most of the contributions come from the same developed countries. The following themes from over the course of almost three decades were identified: 1993-1999 multimedia learning and instructional design; 2000-2004 convergence of educational technology, distance education and online learning environments, and educational technology integration in traditional learning settings; 2005-2009 revising curriculum for educational technology, educational technology in higher education and distance education, and the bottleneck of the significant differences in educational technology research; 2010-2014 online learning and higher education, integration of ICT and full potential of educational technology; and 2015-2019 data-driven, smart educational technology, big data, and learning analytics. While critical views are increasing, this study also observed that some discourse, such as arguments that EdTech will change education and replace teachers, are constantly articulated throughout the literature."
Visual analytics of video-clickstream data and prediction of learners' performance using deep learning models in MOOCs' courses,deep learning (LSTM); MOOCs courses; prediction; video-clickstream; visual analytics,,"The big data stored in massive open online course (MOOC) platforms have become a posed challenge in the Learning Analytics field to analyze the learning behavior of learners, and predict their respective performance, related especially to video lecture data, since most learners view the same online lecture videos. This helps to conduct a comprehensive analysis of such behaviors and explore various learning patterns in MOOC video interactions. This paper aims at presenting a visual analysis, which enables course instructors and education experts to analyze clickstream data that were generated by learner interaction with course videos. It also aims at predicting learner performance, which is a vital decision-making problem, by addressing their issues and improving the educational process. This paper uses a long short-term memory network (LSTM) on implicit features extracted from video-clickstreams data to predict learners' performance and enable instructors to make measures for timely intervention. Results show that the accuracy rate of the proposed model is 89%-95% throughout course weeks. The proposed LSTM model outperforms baseline Deep learning (GRU) and simple recurrent neural network by accuracy of 90.30% in the Mining of Massive Datasets course, and the Automata Theory accuracy is 89%."
Open Learner Models Working in Symbiosis With Self-Regulating Learners: A Research Agenda,Open learner models; Trace data; Self-regulated learning; Learning analytics,ANALYTICS; OUTCOMES,"Learner modeling systems so far formulated model learning in three main ways: a learner's position within a lattice of declarative and procedural knowledge about highly structured disciplines such as geometry or physics, a learner's path through curricular tasks compared to milestones, or profiles of a learner's achievements on a set of tasks relative to mastery criteria or a peer group. Opening these models to learners identifies for them factors and relations among factors. Open learner models tacitly invite learners to regulate learning. However, contemporary learner models omit data about how learners have and should process information to learn, understand, consolidate and transfer new knowledge and skills. What to do with information opened to learners is opaque. I propose incorporating trace data about learning processes in learner models. Trace data allow generating learning analytics that inform self-regulating learners about potentially productive adaptations to processes they have used to learn. In a context of big data, such elaborated learner models are positioned to collaborate with self-regulating learners. Together, they can coordinate symbiotically, creating a platform for the system to improve its models of learners and for learners to more productively self-regulate learning."
